PRISM Time Series Data
Location:  Lat: 37.7658   Lon: -122.4270   Elev: 38m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2017-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Jan-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2017-01-01,0.00,7.3,9.4,11.6
2017-01-02,1.78,7.1,9.5,11.9
2017-01-03,3.18,6.8,8.8,10.7
2017-01-04,15.31,9.1,11.6,14.2
2017-01-05,14.00,7.9,10.7,13.4
2017-01-06,0.00,4.5,7.3,10.1
2017-01-07,1.38,4.3,6.9,9.6
2017-01-08,25.82,7.1,11.3,15.4
2017-01-09,33.60,12.2,14.5,16.7
2017-01-10,9.86,11.6,12.8,14.0
2017-01-11,41.92,11.9,13.5,15.1
2017-01-12,7.36,8.0,10.2,12.4
2017-01-13,6.95,6.8,8.6,10.5
2017-01-14,0.00,6.0,9.6,13.3
2017-01-15,0.00,6.1,9.7,13.4
2017-01-16,0.00,6.2,8.6,11.0
2017-01-17,0.00,6.1,9.0,11.9
2017-01-18,0.68,6.0,8.4,10.9
2017-01-19,21.68,9.3,10.8,12.3
2017-01-20,7.97,9.7,11.5,13.3
2017-01-21,16.93,8.3,10.3,12.3
2017-01-22,14.39,9.6,11.2,12.8
2017-01-23,19.30,8.2,10.7,13.2
2017-01-24,8.61,7.0,9.0,11.0
2017-01-25,0.00,6.3,9.2,12.2
2017-01-26,0.00,6.6,9.5,12.5
2017-01-27,0.00,7.2,10.2,13.3
2017-01-28,0.00,7.7,10.9,14.2
2017-01-29,0.00,7.3,11.2,15.1
2017-01-30,0.00,7.7,11.6,15.4
2017-01-31,0.00,8.0,11.9,15.9
2017-02-01,0.00,7.3,11.0,14.7
2017-02-02,2.35,9.9,11.7,13.5
2017-02-03,13.62,11.3,13.5,15.6
2017-02-04,13.46,12.4,13.8,15.2
2017-02-05,7.09,10.8,12.6,14.4
2017-02-06,5.90,10.8,12.8,14.9
