PRISM Time Series Data
Location:  Lat: 37.4220   Lon: -122.3289   Elev: 500m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2017-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Jan-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2017-01-01,0.00,3.3,6.1,8.9
2017-01-02,3.20,3.4,5.9,8.4
2017-01-03,5.19,3.1,5.0,6.9
2017-01-04,39.79,6.0,8.6,11.3
2017-01-05,14.77,5.3,8.3,11.3
2017-01-06,0.00,0.6,4.0,7.4
2017-01-07,3.96,-0.1,4.1,8.3
2017-01-08,31.72,5.1,8.9,12.7
2017-01-09,48.15,9.3,11.4,13.4
2017-01-10,15.43,8.3,9.3,10.4
2017-01-11,47.77,8.3,10.0,11.6
2017-01-12,6.99,4.9,6.8,8.6
2017-01-13,2.85,3.3,5.3,7.4
2017-01-14,0.00,3.1,6.9,10.8
2017-01-15,0.00,4.7,8.7,12.8
2017-01-16,0.00,3.9,7.3,10.7
2017-01-17,0.00,3.3,7.4,11.5
2017-01-18,0.47,3.8,7.8,11.8
2017-01-19,32.31,6.8,8.0,9.2
2017-01-20,21.79,6.4,8.3,10.1
2017-01-21,22.20,3.7,6.1,8.5
2017-01-22,21.58,5.7,7.3,8.9
2017-01-23,28.38,4.6,7.3,10.1
2017-01-24,6.73,3.0,5.6,8.2
2017-01-25,3.04,2.4,5.7,9.0
2017-01-26,0.00,3.8,7.3,10.9
2017-01-27,0.00,3.9,7.4,11.0
2017-01-28,0.00,3.8,8.2,12.7
2017-01-29,0.00,4.8,10.3,15.8
2017-01-30,0.00,7.7,12.0,16.4
2017-01-31,0.00,8.1,13.2,18.2
2017-02-01,0.00,7.2,12.1,17.1
2017-02-02,2.07,6.6,10.2,13.8
2017-02-03,16.80,8.6,10.4,12.2
2017-02-04,21.54,9.4,10.6,11.8
2017-02-05,2.40,7.3,9.2,11.1
2017-02-06,14.75,7.2,9.5,11.7
2017-02-07,26.09,9.5,11.2,12.8
2017-02-08,42.20,11.5,12.5,13.4
2017-02-09,11.05,12.6,13.3,14.1
2017-02-10,37.47,10.2,11.5,12.7
2017-02-11,3.05,4.9,8.9,12.9
2017-02-12,0.00,3.9,8.2,12.5
2017-02-13,0.00,6.4,11.3,16.2
2017-02-14,0.00,6.3,10.9,15.6
2017-02-15,0.00,8.7,13.9,19.1
2017-02-16,8.14,9.4,14.1,18.8
2017-02-17,11.23,8.4,11.2,14.0
2017-02-18,23.35,7.7,9.3,11.0
2017-02-19,5.43,5.0,6.6,8.3
2017-02-20,20.53,5.7,8.4,11.0
2017-02-21,59.39,9.5,10.6,11.7
2017-02-22,13.20,4.8,7.9,11.1
2017-02-23,0.62,2.0,5.7,9.3
2017-02-24,0.00,1.3,5.0,8.6
2017-02-25,0.35,1.2,5.4,9.6
2017-02-26,0.00,1.9,6.3,10.7
2017-02-27,1.15,2.2,6.8,11.3
2017-02-28,0.00,1.8,6.1,10.4
2017-03-01,0.00,2.5,6.9,11.3
2017-03-02,0.00,4.0,9.3,14.7
2017-03-03,0.00,7.0,12.3,17.5
2017-03-04,0.00,5.7,11.8,17.8
2017-03-05,32.55,6.0,8.4,10.7
2017-03-06,11.26,1.4,4.1,6.8
2017-03-07,2.82,2.9,6.3,9.7
2017-03-08,0.00,3.8,8.6,13.4
2017-03-09,0.00,7.4,12.3,17.2
2017-03-10,0.00,10.4,15.3,20.2
2017-03-11,0.00,10.4,15.3,20.2
2017-03-12,0.00,10.2,15.4,20.6
2017-03-13,0.00,10.4,16.1,21.8
2017-03-14,0.00,11.9,17.9,23.8
2017-03-15,0.00,11.4,18.2,25.0
2017-03-16,0.00,8.9,13.5,18.1
2017-03-17,0.00,8.4,14.1,19.8
2017-03-18,0.00,11.3,17.4,23.4
2017-03-19,0.00,9.6,14.1,18.6
2017-03-20,0.00,8.3,12.8,17.3
2017-03-21,35.80,9.0,10.9,12.8
2017-03-22,18.31,8.1,10.9,13.8
2017-03-23,4.02,6.4,8.8,11.2
2017-03-24,1.16,6.2,9.7,13.1
2017-03-25,24.32,7.7,9.1,10.4
2017-03-26,0.00,6.6,10.0,13.4
2017-03-27,2.66,6.9,10.3,13.7
2017-03-28,0.00,6.6,9.5,12.5
2017-03-29,0.00,7.5,12.0,16.5
2017-03-30,2.12,8.6,13.9,19.2
2017-03-31,0.00,6.7,9.8,13.0
2017-04-01,0.00,7.5,14.0,20.4
2017-04-02,0.00,9.7,17.3,24.8
