PRISM Time Series Data
Location:  Lat: 37.2316   Lon: -121.6948   Elev: 380m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2017-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Jan-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2017-01-01,0.00,4.9,7.2,9.6
2017-01-02,0.45,4.3,6.8,9.2
2017-01-03,3.49,3.8,5.5,7.2
2017-01-04,30.95,6.8,9.1,11.5
2017-01-05,12.52,6.2,9.2,12.3
2017-01-06,0.00,1.6,4.9,8.2
2017-01-07,1.97,0.5,3.8,7.1
2017-01-08,31.16,4.3,9.2,14.1
2017-01-09,60.23,10.0,12.8,15.5
2017-01-10,7.99,9.3,10.4,11.5
2017-01-11,41.87,8.9,10.6,12.3
2017-01-12,10.72,6.1,7.7,9.2
2017-01-13,2.99,3.5,5.3,7.0
2017-01-14,0.00,3.4,7.3,11.2
2017-01-15,0.00,5.1,8.2,11.3
2017-01-16,0.00,2.0,5.7,9.3
2017-01-17,0.00,1.8,6.0,10.2
2017-01-18,0.00,2.8,6.5,10.3
2017-01-19,20.32,7.3,9.3,11.3
2017-01-20,12.55,7.2,9.0,10.9
2017-01-21,28.01,5.1,7.2,9.3
2017-01-22,11.51,6.5,8.1,9.8
2017-01-23,25.32,5.5,8.4,11.4
2017-01-24,2.93,4.4,6.6,8.7
2017-01-25,0.00,2.9,6.0,9.0
2017-01-26,0.00,4.9,8.1,11.3
2017-01-27,0.00,4.0,7.5,10.9
2017-01-28,0.00,4.4,8.1,11.8
2017-01-29,0.00,4.0,9.0,13.9
2017-01-30,0.00,6.6,10.7,14.9
2017-01-31,0.00,8.3,12.0,15.7
2017-02-01,0.00,6.8,11.0,15.3
2017-02-02,1.95,7.2,11.5,15.7
2017-02-03,3.92,10.9,13.2,15.5
2017-02-04,9.37,10.6,12.1,13.5
2017-02-05,0.44,8.8,11.6,14.3
2017-02-06,13.60,8.8,11.2,13.5
2017-02-07,11.01,10.6,11.9,13.2
2017-02-08,14.18,13.0,14.2,15.4
2017-02-09,2.77,14.2,15.0,15.8
2017-02-10,30.90,11.2,13.0,14.7
2017-02-11,2.19,6.6,9.9,13.2
2017-02-12,0.00,5.4,9.7,14.0
2017-02-13,0.00,8.4,12.1,15.8
2017-02-14,0.00,7.6,11.1,14.6
2017-02-15,0.00,8.8,13.3,17.8
2017-02-16,0.61,10.5,14.6,18.7
2017-02-17,2.37,9.6,12.6,15.5
2017-02-18,29.58,9.4,11.3,13.3
2017-02-19,2.68,6.5,8.0,9.5
2017-02-20,8.65,6.7,9.7,12.8
2017-02-21,44.82,10.6,11.7,12.8
2017-02-22,7.05,6.4,9.6,12.8
2017-02-23,0.00,3.2,6.7,10.2
2017-02-24,0.00,2.1,5.7,9.3
2017-02-25,0.00,3.0,6.6,10.2
2017-02-26,0.00,3.6,7.3,10.9
2017-02-27,0.09,4.1,8.0,11.9
2017-02-28,0.05,3.7,7.6,11.5
2017-03-01,0.00,3.8,8.1,12.3
2017-03-02,0.00,4.3,9.3,14.3
2017-03-03,0.00,6.5,11.5,16.5
2017-03-04,0.00,6.6,12.2,17.8
2017-03-05,11.66,7.2,10.2,13.1
2017-03-06,3.04,3.3,5.2,7.1
2017-03-07,0.56,3.8,7.0,10.3
2017-03-08,0.00,4.9,9.0,13.2
2017-03-09,0.00,7.6,13.2,18.7
2017-03-10,0.00,11.4,16.2,21.1
2017-03-11,0.00,11.7,15.7,19.7
2017-03-12,0.00,11.6,16.5,21.3
2017-03-13,0.00,11.6,17.0,22.3
2017-03-14,0.00,12.0,17.2,22.4
2017-03-15,0.00,12.9,19.4,25.9
2017-03-16,0.00,10.1,14.6,19.1
2017-03-17,0.00,10.9,15.5,20.1
2017-03-18,0.00,12.4,17.9,23.3
2017-03-19,0.00,11.2,15.5,19.7
2017-03-20,0.00,10.7,15.0,19.4
2017-03-21,11.55,10.7,13.0,15.3
2017-03-22,20.70,9.5,13.0,16.5
2017-03-23,6.21,6.9,10.1,13.3
